"Profile","Status","DownloadLinks","Error"
"APTEC_CMYKOGV_Coated_LinearCTV_2025","Scanned","1",""
"APTEC_Flexo_Coated_LinearCTV_2025","Scanned","1",""
"APTEC_Flexo_Label_LinearCTV_2025","Scanned","1",""
"APTEC_Flexo_PVC_LinearCTV_2025","Scanned","1",""
"APTEC_Offset_Coated_LinearCTV_2025","Scanned","1",""
"APTEC_Offset_Uncoated_LinearCTV_2025","Scanned","1",""
"APTEC_PC10_CardBoard_2023_v1","Scanned","1",""
"APTEC_PC11_CCNB_2023_v1","Scanned","1",""
"CGATS21_CRPC1","Scanned","1",""
"CGATS21_CRPC2","Scanned","1",""
"CGATS21_CRPC3","Scanned","1",""
"CGATS21_CRPC4","Scanned","1",""
"CGATS21_CRPC5","Scanned","1",""
"CGATS21_CRPC6","Scanned","1",""
"CGATS21_CRPC7","Scanned","1",""
"Coated_Fogra39L_VIGC_260","Scanned","1",""
"Coated_Fogra39L_VIGC_300","Scanned","1",""
"GRACoL2006_Coated1v2","Scanned","1",""
"GRACoL2013_CRPC6","Scanned","1",""
"GRACoL2013UNC_CRPC3","Scanned","1",""
"JapanColor2011Coated","Scanned","1",""
"PSOcoated_v3","Scanned","1",""
"PSOsc-b_paper_v3_FOGRA54","Scanned","1",""
"PSOuncoated_v3_FOGRA52","Scanned","1",""
"SC_paper_eci","Scanned","1",""
"SNAP_2007","Scanned","1",""
"SWOP2006_Coated3v2","Scanned","1",""
"SWOP2006_Coated5v2","Scanned","1",""
"SWOP2013C3_CRPC5","Scanned","1",""
"Uncoated_Fogra47L_VIGC_260","Scanned","1",""
"Uncoated_Fogra47L_VIGC_300","Scanned","1",""
